final_exam,ga1,ga2,homework,CalculatedNumericResult,EndResult,Passed,origin,sex,croho,double_major,type_vooropleiding,ECTS,GPA,total_attended_labsessions,course_repeater,active_minutes,total_course_activities,nightly_activities,distinct_days,logged_in_weekly,nr_files_viewed,nr_distinct_files_viewed,nr_slides_viewed,nr_practice_exams_viewed
"6,7","7,7","7,8","5,0",7.0,7.0,true,ORIGIN_E,SEX_M,B Industrial Design,false,BUITENL_SL,20-40,4.4,1,false,364,200,56,20,0,21,11,0,1
"6,7","7,8","0,0","2,0",4.7,5.0,false,ORIGIN_E,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,15,4.9,0,false,5137,268,60,27,0,42,18,22,5
"6,7","7,8","6,7","10,0",7.2,7.0,true,ORIGIN_E,SEX_M,B Industrial Engineering,false,BUITENL_SL,15,7.1,2,false,1781,440,24,39,1,64,32,19,8
"6,7","7,8","7,8","10,0",7.5,7.0,true,ORIGIN_N,SEX_M,Other,false,VWO,60+,5.9,1,false,946,352,28,31,1,52,30,22,8
"6,7","7,9","4,9","10,0",6.8,7.0,true,ORIGIN_N,SEX_V,B Industrial Design,false,VWO,5,5.7,3,false,1045,452,32,44,1,74,32,30,7
"6,7","7,9","7,8","10,0",7.5,7.0,true,ORIGIN_E,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,15,7.6,1,false,7950,464,112,35,1,73,33,21,4
"6,7","7,9","7,8","8,0",7.3,7.0,true,ORIGIN_N,SEX_M,B Industrial Design,false,VWO,40-60,6.0,4,true,1400,316,48,24,1,47,25,10,4
"6,7","7,9","8,4","10,0",7.6,8.0,true,ORIGIN_N,SEX_M,B Data Science (joint degree),false,BUITENL_SL,10,5.6,7,false,12895,308,96,27,1,35,20,2,7
"6,7","8,0","7,4","10,0",7.4,7.0,true,ORIGIN_R,SEX_M,B Computer Science & Engineering,false,BUITENL_SL,40-60,6.3,1,true,1390,316,8,23,1,43,22,10,3
"6,7","8,0","8,6","10,0",7.7,8.0,true,ORIGIN_R,SEX_V,B Data Science (joint degree),false,BUITENL_SL,15,6.6,2,false,4876,456,232,40,1,69,35,19,7
"6,7","8,1","0,0","10,0",5.6,6.0,true,ORIGIN_N,SEX_M,B Data Science (joint degree),false,VWO,10,6.2,1,false,1706,288,64,29,0,33,17,4,0
"6,7","8,1","7,0","10,0",7.3,7.0,true,ORIGIN_E,SEX_M,B Data Science (joint degree),false,BUITENL_SL,15,7.3,4,false,5342,500,24,49,1,72,33,16,9
"6,7","8,1","8,1","10,0",7.6,8.0,true,ORIGIN_R,SEX_V,B Computer Science & Engineering,false,BUITENL_SL,15,6.7,6,false,1063,444,24,26,1,73,31,15,5
"6,7","8,1","8,4","10,0",7.7,8.0,true,ORIGIN_E,SEX_M,B Industrial Engineering,false,BUITENL_SL,15,7.4,3,false,2082,352,88,30,1,45,25,7,7
